index,threshold,precision_30,precision_30_std,recall_30,recall_30_std,precision_exp,precision_exp_std,recall_exp,recall_exp_std
0,0.0,0.9299478244207681,0.001555737260819791,1.0,0.0,0.96,0.0,1.0,0.0
0,0.01,0.9327703273090624,0.0014904991602983546,0.9967564804424549,0.00027107302891659523,0.96,0.0,1.0,0.0
0,0.1,0.9488941689346181,0.0009162450196906036,0.9770457359619765,0.0013799428260864077,0.96,0.0,1.0,0.0
0,1.0,0.9980589876826894,0.0014577838950192974,0.16751201068226182,0.009504088911251915,1.0,0.0,0.04,0.0
0,0.11,0.9505987984037885,0.0008788733617518374,0.9749372171412215,0.001747950163464192,0.96,0.0,1.0,0.0
0,0.12,0.9521297832513106,0.001185066608792879,0.9730768298933764,0.001934105711496295,0.96,0.0,1.0,0.0
0,0.13,0.9537772489197807,0.0012232066004224142,0.9710053971954549,0.002304020611263148,0.96,0.0,1.0,0.0
0,0.14,0.9556005912570406,0.0010109734181948965,0.9689455300318134,0.002435486883721215,0.96,0.0,1.0,0.0
0,0.15,0.9568307443819402,0.0012094435355115107,0.9674572714275955,0.002781281338934679,0.96,0.0,1.0,0.0
0,0.16,0.9579753108290617,0.001361475243189817,0.9661391296126807,0.002787920404790092,0.96,0.0,1.0,0.0
0,0.17,0.9592828962812294,0.0017418884758422714,0.9645885630565258,0.003164886601829947,0.96,0.0,1.0,0.0
0,0.18,0.9602896785717538,0.0015680468406256314,0.9632932510289522,0.002919991408483669,0.96,0.0,1.0,0.0
0,0.19,0.9613193795532918,0.001424364114326798,0.9619062834875238,0.0027719527907697785,0.96,0.0,1.0,0.0
0,0.02,0.934046794819088,0.0012602480755582758,0.995116126118838,0.00048002754259432435,0.96,0.0,1.0,0.0
0,0.2,0.9624686193865639,0.0014958806970407337,0.9603837168828822,0.0029611396183061166,0.96,0.0,1.0,0.0
0,0.21,0.9633711022001682,0.0017032341340877126,0.9593127021847657,0.0030935951746838284,0.96,0.0,1.0,0.0
0,0.22,0.9641361709313842,0.001786354769974476,0.9583812032175881,0.0031232709237574317,0.96,0.0,1.0,0.0
0,0.23,0.9648508006327938,0.0016636252868074274,0.9573755395674842,0.0030778039610712257,0.96,0.0,1.0,0.0
0,0.24,0.9657586326968737,0.0017034952304708381,0.9562847388582248,0.003026978007334121,0.96,0.0,1.0,0.0
0,0.25,0.9667836670610797,0.0018515814960887256,0.9550092435817295,0.00294562963289832,0.96,0.0,1.0,0.0
0,0.26,0.9675974353328145,0.001834069160721428,0.9538935563492792,0.002983608125994676,0.968,0.016000000000000014,0.992,0.016000000000000014
0,0.27,0.9686696514543762,0.0018669230913820399,0.952386000290956,0.003242324371030881,0.968,0.016000000000000014,0.992,0.016000000000000014
0,0.28,0.9694641405788863,0.0016596745041750484,0.9512968908482019,0.00295498788124656,0.968,0.016000000000000014,0.992,0.016000000000000014
0,0.29,0.9702369827181497,0.0015680393120657897,0.9502084595487528,0.003009443865925618,0.976,0.01959591794226544,0.984,0.01959591794226544
0,0.03,0.9360746241419395,0.0006554586235001266,0.9926918009202907,0.0009922281554669181,0.96,0.0,1.0,0.0
0,0.3,0.9707730016582004,0.0012419050745618749,0.9493487849740945,0.002971840925301443,0.984,0.01959591794226544,0.976,0.01959591794226544
0,0.31,0.9713340062377638,0.0012799654490950124,0.9484678124763348,0.0027782242072149255,0.984,0.01959591794226544,0.976,0.01959591794226544
0,0.32,0.9720893176039406,0.0013995627622000746,0.947503379180961,0.0027260171165684826,0.984,0.01959591794226544,0.976,0.01959591794226544
0,0.33,0.9726273593094706,0.0014163837967823409,0.9466004524637034,0.002598442153256608,0.992,0.016000000000000014,0.968,0.016000000000000014
0,0.34,0.9734969980699619,0.0013281411426087166,0.9451662578507021,0.0028555004150341897,0.992,0.016000000000000014,0.968,0.016000000000000014
0,0.35,0.9741573918042656,0.00145537997103191,0.9441779010424808,0.003000071023339562,0.992,0.016000000000000014,0.968,0.016000000000000014
0,0.36,0.9747975115727557,0.0015511182907526372,0.9432127115879367,0.0032829026427390203,0.992,0.016000000000000014,0.968,0.016000000000000014
0,0.37,0.9753610649031469,0.0015520068312496191,0.9421731456143994,0.003225838042356847,0.992,0.016000000000000014,0.96,0.02529822128134702
0,0.38,0.9758807233780402,0.0014633730117330711,0.9412729483694836,0.0033076948031823777,0.992,0.016000000000000014,0.96,0.02529822128134702
0,0.39,0.9764270122580893,0.0014668123693302214,0.9404476793634957,0.0033442980751474507,0.992,0.016000000000000014,0.96,0.02529822128134702
0,0.04,0.9381326685941707,0.0008026041303884191,0.9902293270538971,0.0009874641791928168,0.96,0.0,1.0,0.0
0,0.4,0.9769735755156734,0.0015649999271369695,0.9395765261970521,0.0033349615519080566,1.0,0.0,0.952,0.01599999999999997
0,0.41,0.9774262819073247,0.0013475379198146897,0.9388412777723876,0.003315231839678478,1.0,0.0,0.952,0.01599999999999997
0,0.42,0.9780236921587943,0.0014848564392853428,0.9379035154607565,0.003516409203594675,1.0,0.0,0.944,0.019595917942265388
0,0.43,0.9784463462873509,0.0013308205727084197,0.9369316984674905,0.0034108342677976245,1.0,0.0,0.944,0.019595917942265388
0,0.44,0.979234990239164,0.0013670955274897715,0.9356529710820439,0.0031969425278465325,1.0,0.0,0.9359999999999999,0.019595917942265388
0,0.45,0.9797804293155867,0.00126557642868254,0.9344296198718611,0.0031838161909124156,1.0,0.0,0.9279999999999999,0.01599999999999997
0,0.46,0.9803474372051106,0.001200706110917169,0.9330439928835375,0.0031307520845318716,1.0,0.0,0.9279999999999999,0.01599999999999997
